main_site,other_site,year,convergence_correlation
13,24,1,0.06890980914533913
13,24,2,-0.03484015152904475
13,25,1,0.06551646844419604
13,25,2,0.0035125597047804885
13,26,1,0.01115442718341652
13,27,1,0.006495504474401989
13,27,2,-0.01648090816279506
13,27,3,0.006243756871297302
13,28,1,0.07985734280656326
13,28,2,0.002163291168150097
13,28,3,0.09393947237150523
13,32,1,-0.05994535009689556
13,32,2,0.007683521453546771
13,32,3,0.011656875657457108
13,33,1,0.0132542839981776
13,33,2,-0.011733260383879812
13,37,1,0.09461101913183775
13,42,1,0.06559688214790965
13,42,2,0.005336887555589315
13,42,3,0.06697000211993705
13,43,1,-0.03359096622658929
13,43,2,0.010385402195918506
13,43,3,0.0671442318303945
13,45,1,0.1468143920874091
13,45,2,0.0067547187920407705
13,45,3,0.07848465594269521
13,46,1,0.09602280977552763
13,46,2,-0.003453239653408506
13,46,3,-0.012745366566842225
13,48,1,-0.013499487475190593
13,48,3,-0.009028522576098463
13,49,1,0.06079451979503119
13,49,2,-0.01112707050521503
13,52,1,0.03255429561978039
13,52,2,0.0004166701036473919
13,52,3,0.014923852858592204
13,53,1,0.04611544110381564
13,53,2,-0.012923199828188368
13,53,3,-0.0051497646395785345
13,54,1,-0.0024121340486703696
13,54,2,-0.014159781951954732
13,54,3,-0.024177696231599488
13,55,1,0.007417633829644891
13,55,2,-0.014890484472593783
13,55,3,0.038154583880962586
13,57,1,0.12478514359817172
13,57,2,0.0012463199261280933
13,57,3,-0.022326205900559972
13,60,1,-0.0014562257892387607
23,24,1,0.1137049555434222
23,25,1,-0.01958307572120789
23,26,1,0.03908438425389227
23,27,1,0.05626441382528752
23,28,1,0.10516228495823378
23,32,1,-0.23954000079581458
23,33,1,0.013688350548906679
23,37,1,0.10820427685384237
23,42,1,-0.11074916818756302
23,43,1,-0.17808181974009207
23,45,1,-0.09994364126646975
23,46,1,-0.256312195141291
23,48,1,0.1603462031488287
23,49,1,-0.22366039367540091
23,52,1,-0.11049560407196829
23,53,1,-0.2301380966189982
23,54,1,-0.2664359049079661
23,55,1,-0.14360116505945486
23,57,1,-0.016355237881776546
23,60,1,-0.07985455232010345
24,25,1,0.08392373928463623
24,25,2,-0.007760841795940145
24,26,1,0.020579485604820258
24,27,1,0.0051391835317215915
24,27,2,-0.017358312056997567
24,28,1,0.15220844120344348
24,28,2,0.004231743702060945
24,32,1,-0.18546761753222932
24,32,2,0.1041971927698953
24,33,1,0.054549255308742294
24,33,2,-0.0013767206666729602
24,37,1,0.14361981485593991
24,42,1,0.03519169648842845
24,42,2,-0.024943071940191148
24,43,1,-0.13821403816469027
24,43,2,0.009540622361135731
24,45,1,0.10235500329035077
24,45,2,0.03515532239015825
24,46,1,-0.024444084651833106
24,46,2,0.004265155964062182
24,48,1,0.06427235785673119
24,49,1,-0.04668909006185146
24,49,2,0.012549413571898115
24,52,1,0.014855938188416951
24,52,2,-0.017371374380871125
24,53,1,-0.06833476229421852
24,53,2,-0.02946270388312816
24,54,1,-0.12529393573258593
24,54,2,-0.026547466867723375
24,55,1,-0.06510050210494946
24,55,2,0.014638608060198455
24,57,1,0.11642160898623435
24,57,2,0.052410855135703115
24,60,1,-0.02458477396498347
25,26,1,-0.006179816104247501
25,27,1,0.0002714343569826874
25,27,2,0.0036297730581968594
25,28,1,0.07258261184521346
25,28,2,0.072842684604502
25,32,1,-0.010190846214304479
25,32,2,-0.012980295928697276
25,33,1,0.03163953173071003
25,33,2,-0.016905277270250242
25,37,1,0.0891167179700924
25,42,1,0.10929580748212286
25,42,2,0.012452555655767205
25,43,1,0.011297135502953571
25,43,2,-0.02989458038948156
25,45,1,0.2027118821142443
25,45,2,-0.05707329699916739
25,46,1,0.12643518661808073
25,46,2,0.07501870895820993
